season,week,team_id,opponent_id,points_for,points_against,result,is_divisional,hot_score,boom_bust_index
2025,1,YMOM,TEAMG,104.62,124.92,L,,,
2025,1,TEAMG,YMOM,124.92,104.62,W,,,
2025,1,NBFAH,XENO,120.62,66.88,W,,,
2025,1,XENO,NBFAH,66.88,120.62,L,,,
2025,1,KORN,OJP,115.18,88.62,W,,,
2025,1,OJP,KORN,88.62,115.18,L,,,
2025,1,XBG,OGM,63.14,89.96,L,,,
2025,1,OGM,XBG,89.96,63.14,W,,,
2025,1,PICK,LIMP,97.18,98.52,L,,,
2025,1,LIMP,PICK,98.52,97.18,W,,,
2025,1,NOEF,RCOL,121.68,140.96,L,,,
2025,1,RCOL,NOEF,140.96,121.68,W,,,
2025,2,NOEF,YMOM,110.04,119.94,L,,,
2025,2,YMOM,NOEF,119.94,110.04,W,,,
2025,2,XENO,XBG,123.9,100.42,W,,,
2025,2,XBG,XENO,100.42,123.9,L,,,
2025,2,TEAMG,RCOL,140.88,101.92,W,,,
2025,2,RCOL,TEAMG,101.92,140.88,L,,,
2025,2,OJP,PICK,142.2,139.2,W,,,
2025,2,PICK,OJP,139.2,142.2,L,,,
2025,2,OGM,NBFAH,88.5,128.6,L,,,
2025,2,NBFAH,OGM,128.6,88.5,W,,,
2025,2,LIMP,KORN,63.54,137.7,L,,,
2025,2,KORN,LIMP,137.7,63.54,W,,,
2025,3,RCOL,YMOM,105.72,96.88,W,,,
2025,3,YMOM,RCOL,96.88,105.72,L,,,
2025,3,NBFAH,XBG,98.46,83.62,W,,,
2025,3,XBG,NBFAH,83.62,98.46,L,,,
2025,3,TEAMG,NOEF,105.46,136.24,L,,,
2025,3,NOEF,TEAMG,136.24,105.46,W,,,
2025,3,KORN,PICK,89.32,102.92,L,,,
2025,3,PICK,KORN,102.92,89.32,W,,,
2025,3,OGM,XENO,150.62,120.92,W,,,
2025,3,XENO,OGM,120.92,150.62,L,,,
2025,3,LIMP,OJP,107.0,127.82,L,,,
2025,3,OJP,LIMP,127.82,107.0,W,,,
2025,4,YMOM,XENO,120.22,126.28,L,,,
2025,4,XENO,YMOM,126.28,120.22,W,,,
2025,4,TEAMG,KORN,154.9,128.72,W,,,
2025,4,KORN,TEAMG,128.72,154.9,L,,,
2025,4,RCOL,LIMP,138.56,128.64,W,,,
2025,4,LIMP,RCOL,128.64,138.56,L,,,
2025,4,OGM,OJP,83.08,122.58,L,,,
2025,4,OJP,OGM,122.58,83.08,W,,,
2025,4,XBG,PICK,137.84,134.38,W,,,
2025,4,PICK,XBG,134.38,137.84,L,,,
2025,4,NOEF,NBFAH,120.6,135.5,L,,,
2025,4,NBFAH,NOEF,135.5,120.6,W,,,
2025,5,YMOM,NBFAH,102.02,110.7,L,,,
2025,5,NBFAH,YMOM,110.7,102.02,W,,,
